author,month,rank,review,title,year
by Steven D. Levitt and Stephen J. Dubner,9.0,8.0,,THINK LIKE A FREAK,2015.0
"by Stanley McChrystal with Tantum Collins, David Silverman and Chris Fussell",9.0,9.0,,TEAM OF TEAMS,2015.0
by Naomi Klein,9.0,10.0,,THIS CHANGES EVERYTHING,2015.0
by Malcolm Gladwell,10.0,1.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2015.0
"by Laurence J. Kotlikoff, Philip Moeller and Paul Solman",10.0,2.0,,GET WHAT'S YOURS,2015.0
by Daniel Kahneman,10.0,3.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2015.0
by Charles Duhigg,10.0,4.0,,THE POWER OF HABIT,2015.0
by Ashlee Vance,10.0,5.0,,ELON MUSK,2015.0
by Daniel J. Levitin,10.0,6.0,,THE ORGANIZED MIND,2015.0
"by Stanley McChrystal with Tantum Collins, David Silverman and Chris Fussell",10.0,7.0,,TEAM OF TEAMS,2015.0
by Tony Robbins,10.0,8.0,,MONEY: MASTER THE GAME,2015.0
by Steven D. Levitt and Stephen J. Dubner,10.0,9.0,,THINK LIKE A FREAK,2015.0
by Malcolm Gladwell,10.0,10.0,https://www.nytimes.com/2000/02/28/books/books-of-the-times-how-ideas-can-be-seriously-infectious-consider-paul-revere.html,TIPPING POINT,2015.0
by Jocko Willink and Leif Babin,11.0,1.0,,EXTREME OWNERSHIP,2015.0
by Ben S. Bernanke,11.0,2.0,,THE COURAGE TO ACT,2015.0
by Steven D. Levitt and Stephen J. Dubner,11.0,3.0,,THINK LIKE A FREAK,2015.0
by Lewis Howes,11.0,4.0,,THE SCHOOL OF GREATNESS,2015.0
by Charles G. Koch,11.0,5.0,,GOOD PROFIT,2015.0
by Neel Doshi,11.0,6.0,,PRIMED TO PERFORM,2015.0
by Urban Meyer with Wayne Coffey,11.0,7.0,,ABOVE THE LINE,2015.0
by Sophia Amoruso,11.0,8.0,,#GIRLBOSS,2015.0
by Charles Duhigg,11.0,9.0,,THE POWER OF HABIT,2015.0
by Malcolm Gladwell,11.0,10.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2015.0
by Jocko Willink and Leif Babin,12.0,1.0,,EXTREME OWNERSHIP,2015.0
by Lewis Howes,12.0,2.0,,THE SCHOOL OF GREATNESS,2015.0
by Urban Meyer with Wayne Coffey,12.0,3.0,,ABOVE THE LINE,2015.0
by Daniel Kahneman,12.0,4.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2015.0
